max_floor_lvl,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,age_of_block,rental_to_sold_ratio,block_street,mrt_dist,school_dist,mall_dist,upcoming_mrt_dist
12,0,0,0,0,0,88,0,0,0,12,76,0,0,0,0,0,0,0,46,0.011235955056179775,101 ANG MO KIO AVE 3,0.0013325141953339009,0.0031818418389456416,0.0021121401170331633,0.019144353682189436
12,0,0,0,0,0,110,0,0,0,16,94,0,0,0,0,0,0,0,38,0.009009009009009009,101 BEDOK RESERVOIR RD,0.002981947362995211,0.0020731392973111057,0.005272310353740398,0.00656724854201624
13,0,0,1,0,0,168,0,35,0,0,0,0,0,0,0,133,0,0,46,3.7222222222222223,101 BEDOK NTH AVE 4,0.002503359721600742,0.0009269857087229616,0.0058763875766189334,0.008484996824125937
25,0,0,0,0,0,92,0,0,0,0,84,8,0,0,0,0,0,0,37,0.010752688172043012,101 BISHAN ST 12,0.004334167472938744,0.004770380135240691,0.0054568836362173245,0.01995764624186162
11,0,0,0,0,0,140,0,0,89,50,0,0,0,0,0,0,1,0,41,0.014285714285714285,101 BT PURMEI RD,0.004761227474883327,0.003523055030916796,0.006082932490473892,0.0020797278685838272
13,0,0,0,0,0,96,0,0,2,46,48,0,0,0,0,0,0,0,39,0.010309278350515464,101 BT BATOK WEST AVE 6,0.002399152964818364,0.0017236044987363067,0.0037010548032951366,0.006065734557174211
10,0,0,0,0,0,76,0,10,62,4,0,0,0,0,0,0,0,0,59,0.012987012987012988,101 C'WEALTH CRES,0.0032576945357330935,0.00812729773767992,0.002567320061895403,0.01853998052539585
15,0,0,0,0,0,112,0,0,0,18,94,0,0,0,0,0,0,0,39,0.008849557522123894,101 CLEMENTI ST 14,0.007035338348487888,0.0034791007587226456,0.00557679276097646,0.006273431265544684
13,0,0,0,0,0,60,0,0,0,0,0,60,0,0,0,0,0,0,37,0.01639344262295082,101 GANGSA RD,0.0012537208118411282,0.000524460021924807,0.0009247342401554275,0.007343709995773593
12,0,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,56,0.010309278350515464,101 HENDERSON CRES,0.0017331027544890728,0.000988696746342278,0.003964151726838329,0.01315581785429343
9,0,0,1,0,0,108,0,0,0,108,0,0,0,0,0,0,0,0,40,0.009174311926605505,101 HOUGANG AVE 1,0.005172940141185451,0.0029774525465454645,0.0030618612785347386,0.026202565525325527
17,0,0,1,0,0,128,0,0,0,128,0,0,0,0,0,0,0,0,43,0.007751937984496124,101 JLN RAJAH,0.0038716032976201004,0.004142349070719762,0.0021161667888563414,0.019752618147289885
16,0,0,1,0,0,238,0,0,196,40,2,0,0,0,0,0,0,0,41,0.0041841004184100415,101 JURONG EAST ST 13,0.0037981541775402986,0.0008027539962470755,0.0025987304585484757,0.0029553611205516504
4,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,35,0.09090909090909091,101 LENGKONG TIGA,0.003311707456606629,0.0047559161328996616,0.0044785964533013865,0.00467955065661829
13,0,0,0,0,0,96,0,0,0,0,0,96,0,0,0,0,0,0,35,0.010309278350515464,101 PASIR RIS ST 12,0.006217481934954809,0.0015931602451405248,0.001305886139882066,0.038178881363471195
16,0,0,0,0,0,120,0,0,120,0,0,0,0,0,0,0,0,0,39,0.008264462809917356,101 POTONG PASIR AVE 1,0.0017941157444809545,0.0022183563554660788,0.001131721991515387,0.017368528883571474
17,0,0,1,0,0,131,0,0,0,56,75,0,0,0,0,0,0,0,25,0.007575757575757576,101 RIVERVALE WALK,0.0014868620670914665,0.0006213789710611155,0.0012429979451664096,0.02885269868616456
13,0,0,0,0,0,144,0,0,0,144,0,0,0,0,0,0,0,0,39,0.006896551724137931,101 SERANGOON NTH AVE 1,0.0042837112842075585,0.002068538630270511,0.004523514120707255,0.024867350046393934
11,0,0,1,0,0,140,0,0,0,88,52,0,0,0,0,0,0,0,35,0.0070921985815602835,101 SIMEI ST 1,0.002350857873723755,0.0006356290647524111,0.0018908268965681107,0.012357239587125946
20,0,0,0,0,0,76,0,0,0,76,0,0,0,0,0,0,0,0,50,0.012987012987012988,101 SPOTTISWOODE PK RD,0.0040142548619739905,0.001950377521218686,0.00242688427099004,0.0012988578494318903
11,0,0,1,0,0,120,0,0,80,40,0,0,0,0,0,0,0,0,42,0.008264462809917356,101 TAMPINES ST 11,0.002325929444140692,0.0013917063245120545,0.004912112938816725,0.01904366105527261
13,0,0,0,0,0,66,0,0,0,0,0,66,0,0,0,0,0,0,35,0.014925373134328358,101 TECK WHYE LANE,0.002133944744545632,0.002382943917989662,0.0019087394878305947,0.007440146329831773
4,1,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,0,0,41,0.022222222222222223,101 TOWNER RD,0.000543252736765913,0.0024867469459552653,0.0042875436770556385,0.017606937340712878
25,1,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,50,0.010309278350515464,101 WHAMPOA DR,0.0020234671410690177,0.001640723446878075,0.002483904883617197,0.019093815778855668
10,0,0,1,0,0,146,0,0,89,55,2,0,0,0,0,0,0,0,39,0.006802721088435374,101 WOODLANDS ST 13,0.000810500766134101,0.0023316064753382704,0.0005054116910234258,0.02784852698739226
4,1,0,0,0,0,107,0,0,94,12,1,0,0,0,0,0,0,0,46,0.009259259259259259,101 YISHUN AVE 5,0.0014032736116097783,0.0027170163792189853,0.0026188551638613214,0.019581257047999238
15,0,0,0,0,0,164,0,0,0,84,80,0,0,0,0,0,0,0,4,0.006060606060606061,101A CANBERRA ST,0.002150633839523091,0.0029298025418481206,0.001790840966912581,0.034045792236638284
17,0,0,0,0,0,64,0,0,0,0,0,64,0,0,0,0,0,0,31,0.015384615384615385,101A LOR 2 TOA PAYOH,0.00038207464897274055,0.0017706642823214656,0.007750786213711354,0.02286187973420707
16,0,0,0,0,0,82,0,0,0,26,56,0,0,0,0,0,0,0,22,0.012048192771084338,101A PUNGGOL FIELD,0.006463512461674502,0.0018334992952508302,0.003972578326656981,0.017354319667198692
16,0,0,1,0,0,240,0,150,30,60,0,0,0,0,0,0,0,0,4,0.004149377593360996,101B CANBERRA ST,0.002150633839523091,0.0029298025418481206,0.001790840966912581,0.034045792236638284
13,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0,0,31,0.02040816326530612,101B LOR 2 TOA PAYOH,0.0005424135008127041,0.0018974027739556338,0.0076029455775174296,0.02301610579479084
17,0,0,1,0,0,92,0,0,0,0,92,0,0,0,0,0,0,0,22,0.010752688172043012,101B PUNGGOL FIELD,0.00639393223404429,0.001703578173054133,0.003852192875291808,0.01744954256394463
17,1,0,1,0,0,86,0,0,0,0,86,0,0,0,0,0,0,0,22,0.011494252873563218,101C PUNGGOL FIELD,0.006353400929563518,0.0018704775965175775,0.004078070023433895,0.01720549860189328
17,0,0,0,0,0,85,0,0,0,28,57,0,0,0,0,0,0,0,22,0.011627906976744186,101D PUNGGOL FIELD,0.005953264134131814,0.001632709476947028,0.004477156949200495,0.016814703127448958
12,0,0,1,0,0,150,0,0,124,22,3,1,0,0,0,0,0,0,46,0.006622516556291391,102 ALJUNIED CRES,0.002806321020463109,0.002869815243695611,0.0030024250570496297,0.012253140567737318
12,0,0,1,0,0,88,0,0,0,66,22,0,0,0,0,0,0,0,46,0.011235955056179775,102 ANG MO KIO AVE 3,0.0009895459655755157,0.0029563931736209938,0.001826555099144045,0.01935356640827944
4,0,0,0,0,0,24,0,0,16,8,0,0,0,0,0,0,0,0,38,0.04,102 BEDOK RESERVOIR RD,0.0018355954447867786,0.0022285903360139427,0.007923774523481267,0.009864483518221001
14,0,0,0,0,0,149,0,0,116,26,2,5,0,0,0,0,0,0,47,0.006666666666666667,102 BEDOK NTH AVE 4,0.0029636110050228924,0.0007519934342070249,0.005981725316382258,0.008209531782515022
25,0,0,0,0,0,92,0,0,0,0,84,8,0,0,0,0,0,0,37,0.010752688172043012,102 BISHAN ST 12,0.004039895119809134,0.004531174726899584,0.005174087492673586,0.01973175736825438
10,0,0,1,0,0,147,0,0,93,54,0,0,0,0,0,0,0,0,40,0.006756756756756757,102 BT PURMEI RD,0.005131699363391175,0.0031354128697074777,0.0056068528299559805,0.0022145599393369264
13,0,0,1,0,0,96,0,0,2,46,48,0,0,0,0,0,0,0,39,0.010309278350515464,102 BT BATOK WEST AVE 6,0.001003095134936949,0.0008981656888910093,0.0014116577042466495,0.0035698950632471783
10,0,0,0,0,0,95,0,10,80,5,0,0,0,0,0,0,0,0,59,0.010416666666666666,102 C'WEALTH CRES,0.0030925449570589673,0.0079037127976183,0.00273092719571627,0.018650583475306078
4,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,39,0.1111111111111111,102 CLEMENTI ST 14,0.0072387563434555754,0.003679002713376291,0.005779556811908967,0.006401260886579847
10,0,0,0,0,0,90,0,0,54,36,0,0,0,0,0,0,0,0,37,0.01098901098901099,102 GANGSA RD,0.0014008437427386364,0.0004933613647827458,0.0010566619085418242,0.007469320827927255
14,0,0,0,0,0,140,0,0,0,140,0,0,0,0,0,0,0,0,56,0.0070921985815602835,102 HENDERSON CRES,0.0015268920335406039,0.0012475848472549111,0.004226627261693526,0.013194684689431907
13,1,0,0,0,0,90,0,0,19,71,0,0,0,0,0,0,0,0,40,0.01098901098901099,102 HOUGANG AVE 1,0.005117822932869931,0.002945595151966425,0.002979967828316644,0.026093128060876804
12,1,0,0,0,0,198,0,0,0,198,0,0,0,0,0,0,0,0,43,0.005025125628140704,102 JLN RAJAH,0.00447324000491352,0.004351487240845031,0.0017502035758717655,0.019468791141684382
25,0,0,0,0,0,96,0,0,0,0,96,0,0,0,0,0,0,0,42,0.010309278350515464,102 JLN DUSUN,0.004795576454350154,0.0049162037998185335,0.0010828334190067916,0.021147695923225154
12,0,0,0,0,0,196,0,0,172,22,2,0,0,0,0,0,0,0,42,0.005076142131979695,102 JURONG EAST ST 13,0.002948820140764231,0.0006383985669135632,0.0018593084342386028,0.0028324121813443895
14,0,0,0,0,0,73,0,0,0,22,51,0,0,0,0,0,0,0,35,0.013513513513513514,102 LENGKONG TIGA,0.004566201508647809,0.003669249982657225,0.00458184134809998,0.004963926075409076
13,0,0,0,0,0,96,0,0,0,54,42,0,0,0,0,0,0,0,35,0.010309278350515464,102 PASIR RIS ST 12,0.005793782259460557,0.001486837814533324,0.001396859004418668,0.03861375530923918
16,1,0,1,0,0,167,0,0,144,20,0,3,0,0,0,0,0,0,40,0.005952380952380952,102 POTONG PASIR AVE 1,0.0023157214982959737,0.002478464681481017,0.001663211835330601,0.017554445342920867
17,0,0,1,0,0,129,0,0,0,0,0,129,0,0,0,0,0,0,25,0.007692307692307693,102 RIVERVALE WALK,0.0023893090547590008,0.0013724321857562366,0.001928967443305019,0.029316484141674485
4,0,0,0,0,0,24,0,0,16,8,0,0,0,0,0,0,0,0,39,0.04,102 SERANGOON NTH AVE 1,0.004228455325451246,0.002184054713075014,0.0047153428651810925,0.024926154293774493
11,0,0,1,0,0,100,0,0,0,64,36,0,0,0,0,0,0,0,35,0.009900990099009901,102 SIMEI ST 1,0.001868446593631214,0.0011277889691660792,0.001410439639181023,0.012842495191477185
20,1,0,0,0,0,76,0,0,0,76,0,0,0,0,0,0,0,0,50,0.012987012987012988,102 SPOTTISWOODE PK RD,0.0034069424065422366,0.001315813989296229,0.0021161763825565476,0.0019197355241491396
11,0,0,0,0,0,140,0,0,90,50,0,0,0,0,0,0,0,0,41,0.0070921985815602835,102 TAMPINES ST 11,0.0019033894367749805,0.0013487874279220072,0.0043486496276894165,0.01836859357816366
9,0,0,0,0,0,64,0,0,0,36,28,0,0,0,0,0,0,0,35,0.015384615384615385,102 TECK WHYE LANE,0.0027984791315255587,0.0025068357759789432,0.0019445270229385286,0.008231200755245398
4,1,0,0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,40,0.02702702702702703,102 TOWNER RD,0.0006458218000459802,0.0014867159423625502,0.004514260941190511,0.017081131763051195
12,0,0,1,0,0,110,0,0,65,45,0,0,0,0,0,0,0,0,39,0.009009009009009009,102 WOODLANDS ST 13,0.0009055542449901337,0.0024643510539393934,0.0006077439734242907,0.027989041234997687
17,0,0,0,0,0,190,0,0,0,94,96,0,0,0,0,0,0,0,4,0.005235602094240838,102A CANBERRA ST,0.002150633839523091,0.0029298025418481206,0.001790840966912581,0.034045792236638284
21,0,0,1,0,0,114,0,43,0,0,0,0,0,71,0,0,0,0,7,0.008695652173913044,102A DEPOT RD,0.007064975126916259,0.004825441229807412,0.006382191821140242,0.011291703875423456
17,0,0,0,0,0,85,0,0,0,28,57,0,0,0,0,0,0,0,22,0.011627906976744186,102A PUNGGOL FIELD,0.005600138097489723,0.0013064966960720508,0.004196330171267706,0.016469661916015493
16,0,0,0,0,0,210,0,180,30,0,0,0,0,0,0,0,0,0,4,0.004739336492890996,102B CANBERRA ST,0.002150633839523091,0.0029298025418481206,0.001790840966912581,0.034045792236638284
17,0,0,0,0,0,86,0,0,0,0,86,0,0,0,0,0,0,0,22,0.011494252873563218,102B PUNGGOL FIELD,0.005343760701626362,0.0010845301335953197,0.003974705464827679,0.016220701389350143
