shs_year,elderly_pop,town_estate,number
2018,Elderly,Bukit Timah,1700
2018,Elderly,Bedok,38200
2018,Elderly,Bukit Merah,34700
2018,Elderly,Ang Mo Kio,31000
2018,Elderly,Toa Payoh,25300
2018,Elderly,Kallang/Whampoa,24100
2018,Elderly,Queenstown,19300
2018,Elderly,Geylang,18500
2018,Elderly,Clementi,17000
2018,Elderly,Central Area,8000
2018,Elderly,Marine Parade,6400
2018,Future Elderly,Sengkang,21200
2018,Future Elderly,Punggol,12200
2018,Future Elderly,Sembawang,11800
2018,Future Elderly,Jurong West,35800
2018,Future Elderly,Tampines,41000
2018,Future Elderly,Hougang,27200
2018,Future Elderly,Yishun,30000
2018,Future Elderly,Choa Chu Kang,28800
2018,Future Elderly,Hougang,26600
2018,Future Elderly,Bukit Panjang,19300
2018,Future Elderly,Pasir Ris,19700
2018,Future Elderly,Bukit Batok,11400
2018,Future Elderly,Jurong East,11300
2018,Future Elderly,Serangoon,11000
2018,Future Elderly,Bishan,18800
2018,Future Elderly,Bukit Timah,1500
2018,Future Elderly,Bedok,32300
2018,Future Elderly,Bukit Merah,22500
2018,Future Elderly,Ang Mo Kio,22600
2018,Future Elderly,Toa Payoh,15900
2018,Future Elderly,Kallang/Whampoa,15600
2018,Future Elderly,Queenstown,13400
2018,Future Elderly,Geylang,11000
2018,Future Elderly,Clementi,11400
2018,Future Elderly,Central Area,4800
2018,Future Elderly,Marine Parade,2500
